Id,invoice_date,product,price_per_unit,units_sold,total_sales,operating_profit,operating_margin
1452,09/04/2021,Women's Street Footwear,35.00 ,525,"1,83,750 ","45,938 ",25%
1453,09/04/2021,Women's Athletic Footwear,40.00 ,450,"1,80,000 ","54,000 ",30%
1454,09/04/2021,Men's Apparel,55.00 ,475,"2,61,250 ","91,438 ",35%
1455,09/04/2021,Women's Apparel,45.00 ,600,"2,70,000 ","1,35,000 ",50%
1456,08/05/2021,Men's Street Footwear,55.00 ,870,"4,78,500 ","2,15,325 ",45%
1457,08/05/2021,Men's Athletic Footwear,55.00 ,575,"3,16,250 ","1,10,688 ",35%
1458,08/05/2021,Women's Street Footwear,50.00 ,550,"2,75,000 ","68,750 ",25%
1459,08/05/2021,Women's Athletic Footwear,50.00 ,500,"2,50,000 ","75,000 ",30%
1460,08/05/2021,Men's Apparel,60.00 ,525,"3,15,000 ","1,10,250 ",35%
1461,08/05/2021,Women's Apparel,65.00 ,625,"4,06,250 ","2,03,125 ",50%
1462,10/06/2021,Men's Street Footwear,60.00 ,875,"5,25,000 ","2,36,250 ",45%
1463,10/06/2021,Men's Athletic Footwear,55.00 ,625,"3,43,750 ","1,20,313 ",35%
1464,10/06/2021,Women's Street Footwear,50.00 ,600,"3,00,000 ","75,000 ",25%
1465,10/06/2021,Women's Athletic Footwear,50.00 ,575,"2,87,500 ","86,250 ",30%
1466,10/06/2021,Men's Apparel,65.00 ,575,"3,73,750 ","1,30,813 ",35%
1467,10/06/2021,Women's Apparel,70.00 ,725,"5,07,500 ","2,53,750 ",50%
1468,08/07/2021,Men's Street Footwear,65.00 ,950,"6,17,500 ","2,77,875 ",45%
1469,08/07/2021,Men's Athletic Footwear,60.00 ,700,"4,20,000 ","1,47,000 ",35%
1470,08/07/2021,Women's Street Footwear,55.00 ,625,"3,43,750 ","85,938 ",25%
1471,08/07/2021,Women's Athletic Footwear,55.00 ,575,"3,16,250 ","94,875 ",30%
1472,08/07/2021,Men's Apparel,65.00 ,600,"3,90,000 ","1,36,500 ",35%
1473,08/07/2021,Women's Apparel,70.00 ,775,"5,42,500 ","2,71,250 ",50%
1474,09/08/2021,Men's Street Footwear,65.00 ,925,"6,01,250 ","2,70,563 ",45%
1475,09/08/2021,Men's Athletic Footwear,60.00 ,700,"4,20,000 ","1,47,000 ",35%
1476,09/08/2021,Women's Street Footwear,55.00 ,625,"3,43,750 ","85,938 ",25%
1477,09/08/2021,Women's Athletic Footwear,45.00 ,575,"2,58,750 ","77,625 ",30%
1478,09/08/2021,Men's Apparel,55.00 ,550,"3,02,500 ","1,05,875 ",35%
1479,09/08/2021,Women's Apparel,60.00 ,725,"4,35,000 ","2,17,500 ",50%
1480,08/09/2021,Men's Street Footwear,55.00 ,850,"4,67,500 ","2,10,375 ",45%
1481,08/09/2021,Men's Athletic Footwear,50.00 ,650,"3,25,000 ","1,13,750 ",35%
1482,08/09/2021,Women's Street Footwear,45.00 ,550,"2,47,500 ","61,875 ",25%
1483,08/09/2021,Women's Athletic Footwear,45.00 ,525,"2,36,250 ","70,875 ",30%
1484,08/09/2021,Men's Apparel,55.00 ,525,"2,88,750 ","1,01,063 ",35%
1485,08/09/2021,Women's Apparel,60.00 ,625,"3,75,000 ","1,87,500 ",50%
1486,10/10/2021,Men's Street Footwear,60.00 ,800,"4,80,000 ","2,16,000 ",45%
1487,10/10/2021,Men's Athletic Footwear,50.00 ,625,"3,12,500 ","1,09,375 ",35%
1488,10/10/2021,Women's Street Footwear,50.00 ,525,"2,62,500 ","65,625 ",25%
1489,10/10/2021,Women's Athletic Footwear,50.00 ,500,"2,50,000 ","75,000 ",30%
1490,10/10/2021,Men's Apparel,60.00 ,500,"3,00,000 ","1,05,000 ",35%
1491,10/10/2021,Women's Apparel,65.00 ,625,"4,06,250 ","2,03,125 ",50%
1492,09/11/2021,Men's Street Footwear,60.00 ,775,"4,65,000 ","2,09,250 ",45%
1493,09/11/2021,Men's Athletic Footwear,50.00 ,600,"3,00,000 ","1,05,000 ",35%
1494,09/11/2021,Women's Street Footwear,50.00 ,545,"2,72,500 ","68,125 ",25%
1495,09/11/2021,Women's Athletic Footwear,50.00 ,575,"2,87,500 ","86,250 ",30%
1496,09/11/2021,Men's Apparel,65.00 ,550,"3,57,500 ","1,25,125 ",35%
1497,09/11/2021,Women's Apparel,70.00 ,650,"4,55,000 ","2,27,500 ",50%
1498,08/12/2021,Men's Street Footwear,65.00 ,875,"5,68,750 ","2,55,938 ",45%
1499,08/12/2021,Men's Athletic Footwear,55.00 ,675,"3,71,250 ","1,29,938 ",35%
1500,08/12/2021,Women's Street Footwear,55.00 ,625,"3,43,750 ","85,938 ",25%
1501,08/12/2021,Women's Athletic Footwear,55.00 ,575,"3,16,250 ","94,875 ",30%
1502,08/12/2021,Men's Apparel,65.00 ,575,"3,73,750 ","1,30,813 ",35%
1503,08/12/2021,Women's Apparel,70.00 ,675,"4,72,500 ","2,36,250 ",50%
1504,14/01/2021,Men's Street Footwear,40.00 ,800,"3,20,000 ","1,60,000 ",50%
1505,14/01/2021,Men's Athletic Footwear,40.00 ,600,"2,40,000 ","72,000 ",30%
1506,14/01/2021,Women's Street Footwear,30.00 ,600,"1,80,000 ","63,000 ",35%
1507,14/01/2021,Women's Athletic Footwear,35.00 ,450,"1,57,500 ","55,125 ",35%
1508,14/01/2021,Men's Apparel,50.00 ,500,"2,50,000 ","75,000 ",30%
1509,14/01/2021,Women's Apparel,40.00 ,600,"2,40,000 ","60,000 ",25%
1510,12/02/2021,Men's Street Footwear,40.00 ,850,"3,40,000 ","1,70,000 ",50%
1511,12/02/2021,Men's Athletic Footwear,40.00 ,500,"2,00,000 ","60,000 ",30%
1512,12/02/2021,Women's Street Footwear,30.00 ,550,"1,65,000 ","57,750 ",35%
1513,12/02/2021,Women's Athletic Footwear,35.00 ,425,"1,48,750 ","52,063 ",35%
1514,12/02/2021,Men's Apparel,50.00 ,500,"2,50,000 ","75,000 ",30%
1515,12/02/2021,Women's Apparel,40.00 ,600,"2,40,000 ","60,000 ",25%
1516,10/03/2021,Men's Street Footwear,40.00 ,820,"3,28,000 ","1,64,000 ",50%
1517,10/03/2021,Men's Athletic Footwear,40.00 ,525,"2,10,000 ","63,000 ",30%
1518,10/03/2021,Women's Street Footwear,30.00 ,550,"1,65,000 ","57,750 ",35%
1519,10/03/2021,Women's Athletic Footwear,35.00 ,400,"1,40,000 ","49,000 ",35%
1520,10/03/2021,Men's Apparel,50.00 ,450,"2,25,000 ","67,500 ",30%
1521,10/03/2021,Women's Apparel,40.00 ,550,"2,20,000 ","55,000 ",25%
1522,11/04/2021,Men's Street Footwear,40.00 ,800,"3,20,000 ","1,60,000 ",50%
1523,11/04/2021,Men's Athletic Footwear,40.00 ,500,"2,00,000 ","60,000 ",30%
1524,11/04/2021,Women's Street Footwear,30.00 ,500,"1,50,000 ","52,500 ",35%
1525,11/04/2021,Women's Athletic Footwear,35.00 ,425,"1,48,750 ","52,063 ",35%
1526,11/04/2021,Men's Apparel,50.00 ,425,"2,12,500 ","63,750 ",30%
1527,11/04/2021,Women's Apparel,40.00 ,550,"2,20,000 ","55,000 ",25%
1528,10/05/2021,Men's Street Footwear,50.00 ,820,"4,10,000 ","2,05,000 ",50%
1529,10/05/2021,Men's Athletic Footwear,45.00 ,525,"2,36,250 ","70,875 ",30%
1530,10/05/2021,Women's Street Footwear,40.00 ,500,"2,00,000 ","70,000 ",35%
1531,10/05/2021,Women's Athletic Footwear,40.00 ,450,"1,80,000 ","63,000 ",35%
1532,10/05/2021,Men's Apparel,50.00 ,475,"2,37,500 ","71,250 ",30%
1533,10/05/2021,Women's Apparel,55.00 ,600,"3,30,000 ","82,500 ",25%
1534,12/06/2021,Men's Street Footwear,50.00 ,850,"4,25,000 ","2,12,500 ",50%
1535,12/06/2021,Men's Athletic Footwear,45.00 ,600,"2,70,000 ","81,000 ",30%
1536,12/06/2021,Women's Street Footwear,40.00 ,525,"2,10,000 ","73,500 ",35%
1537,12/06/2021,Women's Athletic Footwear,40.00 ,500,"2,00,000 ","70,000 ",35%
1538,12/06/2021,Men's Apparel,50.00 ,500,"2,50,000 ","75,000 ",30%
1539,12/06/2021,Women's Apparel,55.00 ,650,"3,57,500 ","89,375 ",25%
1540,10/07/2021,Men's Street Footwear,50.00 ,875,"4,37,500 ","2,18,750 ",50%
1541,10/07/2021,Men's Athletic Footwear,45.00 ,625,"2,81,250 ","84,375 ",30%
1542,10/07/2021,Women's Street Footwear,40.00 ,550,"2,20,000 ","77,000 ",35%
1543,10/07/2021,Women's Athletic Footwear,40.00 ,500,"2,00,000 ","70,000 ",35%
1544,10/07/2021,Men's Apparel,50.00 ,525,"2,62,500 ","78,750 ",30%
1545,10/07/2021,Women's Apparel,55.00 ,700,"3,85,000 ","96,250 ",25%
1546,11/08/2021,Men's Street Footwear,50.00 ,850,"4,25,000 ","2,12,500 ",50%
1547,11/08/2021,Men's Athletic Footwear,45.00 ,625,"2,81,250 ","84,375 ",30%
1548,11/08/2021,Women's Street Footwear,40.00 ,550,"2,20,000 ","77,000 ",35%
1549,11/08/2021,Women's Athletic Footwear,40.00 ,525,"2,10,000 ","73,500 ",35%
1550,11/08/2021,Men's Apparel,50.00 ,500,"2,50,000 ","75,000 ",30%
1551,11/08/2021,Women's Apparel,55.00 ,675,"3,71,250 ","92,813 ",25%
1552,10/09/2021,Men's Street Footwear,50.00 ,800,"4,00,000 ","2,00,000 ",50%
1553,10/09/2021,Men's Athletic Footwear,45.00 ,600,"2,70,000 ","81,000 ",30%
1554,10/09/2021,Women's Street Footwear,40.00 ,525,"2,10,000 ","73,500 ",35%
1555,10/09/2021,Women's Athletic Footwear,40.00 ,500,"2,00,000 ","70,000 ",35%
1556,10/09/2021,Men's Apparel,50.00 ,500,"2,50,000 ","75,000 ",30%
1557,10/09/2021,Women's Apparel,55.00 ,600,"3,30,000 ","82,500 ",25%
1558,12/10/2021,Men's Street Footwear,55.00 ,775,"4,26,250 ","2,13,125 ",50%
1559,12/10/2021,Men's Athletic Footwear,45.00 ,600,"2,70,000 ","81,000 ",30%
1560,12/10/2021,Women's Street Footwear,45.00 ,500,"2,25,000 ","78,750 ",35%
1561,12/10/2021,Women's Athletic Footwear,45.00 ,475,"2,13,750 ","74,813 ",35%
1562,12/10/2021,Men's Apparel,55.00 ,475,"2,61,250 ","78,375 ",30%
1563,12/10/2021,Women's Apparel,60.00 ,600,"3,60,000 ","90,000 ",25%
1564,11/11/2021,Men's Street Footwear,55.00 ,750,"4,12,500 ","2,06,250 ",50%
1565,11/11/2021,Men's Athletic Footwear,45.00 ,575,"2,58,750 ","77,625 ",30%
1566,11/11/2021,Women's Street Footwear,45.00 ,520,"2,34,000 ","81,900 ",35%
1567,11/11/2021,Women's Athletic Footwear,45.00 ,500,"2,25,000 ","78,750 ",35%
1568,11/11/2021,Men's Apparel,55.00 ,475,"2,61,250 ","78,375 ",30%
1569,11/11/2021,Women's Apparel,60.00 ,575,"3,45,000 ","86,250 ",25%
1570,10/12/2021,Men's Street Footwear,55.00 ,800,"4,40,000 ","2,20,000 ",50%
1571,10/12/2021,Men's Athletic Footwear,45.00 ,600,"2,70,000 ","81,000 ",30%
1572,10/12/2021,Women's Street Footwear,45.00 ,550,"2,47,500 ","86,625 ",35%
1573,10/12/2021,Women's Athletic Footwear,45.00 ,500,"2,25,000 ","78,750 ",35%
1574,10/12/2021,Men's Apparel,55.00 ,500,"2,75,000 ","82,500 ",30%
1575,10/12/2021,Women's Apparel,60.00 ,600,"3,60,000 ","90,000 ",25%
1576,24/01/2021,Men's Street Footwear,30.00 ,350,"1,05,000 ","36,750 ",35%
1577,24/01/2021,Men's Athletic Footwear,40.00 ,350,"1,40,000 ","49,000 ",35%
1578,24/01/2021,Women's Street Footwear,40.00 ,350,"1,40,000 ","49,000 ",35%
1579,24/01/2021,Women's Athletic Footwear,40.00 ,200,"80,000 ","28,000 ",35%
1580,24/01/2021,Men's Apparel,45.00 ,150,"67,500 ","27,000 ",40%
1581,24/01/2021,Women's Apparel,40.00 ,400,"1,60,000 ","48,000 ",30%
1582,24/02/2021,Men's Street Footwear,30.00 ,450,"1,35,000 ","47,250 ",35%
1583,24/02/2021,Men's Athletic Footwear,40.00 ,350,"1,40,000 ","49,000 ",35%
1584,24/02/2021,Women's Street Footwear,40.00 ,350,"1,40,000 ","49,000 ",35%
1585,24/02/2021,Women's Athletic Footwear,40.00 ,200,"80,000 ","28,000 ",35%
1586,24/02/2021,Men's Apparel,45.00 ,125,"56,250 ","22,500 ",40%
1587,24/02/2021,Women's Apparel,40.00 ,325,"1,30,000 ","39,000 ",30%
1588,23/03/2021,Men's Street Footwear,40.00 ,475,"1,90,000 ","66,500 ",35%
1589,23/03/2021,Men's Athletic Footwear,50.00 ,325,"1,62,500 ","56,875 ",35%
1590,23/03/2021,Women's Street Footwear,55.00 ,350,"1,92,500 ","67,375 ",35%
1591,23/03/2021,Women's Athletic Footwear,50.00 ,250,"1,25,000 ","43,750 ",35%
1592,23/03/2021,Men's Apparel,55.00 ,100,"55,000 ","22,000 ",40%
1593,23/03/2021,Women's Apparel,50.00 ,300,"1,50,000 ","45,000 ",30%
1594,24/04/2021,Men's Street Footwear,55.00 ,475,"2,61,250 ","91,438 ",35%
1595,24/04/2021,Men's Athletic Footwear,60.00 ,275,"1,65,000 ","57,750 ",35%
1596,24/04/2021,Women's Street Footwear,60.00 ,325,"1,95,000 ","68,250 ",35%
1597,24/04/2021,Women's Athletic Footwear,45.00 ,225,"1,01,250 ","35,438 ",35%
1598,24/04/2021,Men's Apparel,50.00 ,125,"62,500 ","25,000 ",40%
1599,24/04/2021,Women's Apparel,65.00 ,300,"1,95,000 ","58,500 ",30%
1600,25/05/2021,Men's Street Footwear,50.00 ,500,"2,50,000 ","87,500 ",35%
1601,25/05/2021,Men's Athletic Footwear,55.00 ,350,"1,92,500 ","67,375 ",35%
1602,25/05/2021,Women's Street Footwear,55.00 ,350,"1,92,500 ","67,375 ",35%
1603,25/05/2021,Women's Athletic Footwear,50.00 ,275,"1,37,500 ","48,125 ",35%
1604,25/05/2021,Men's Apparel,45.00 ,175,"78,750 ","31,500 ",40%
1605,25/05/2021,Women's Apparel,60.00 ,525,"3,15,000 ","94,500 ",30%
1606,24/06/2021,Men's Street Footwear,55.00 ,775,"4,26,250 ","1,49,188 ",35%
1607,24/06/2021,Men's Athletic Footwear,65.00 ,650,"4,22,500 ","1,47,875 ",35%
1608,24/06/2021,Women's Street Footwear,80.00 ,650,"5,20,000 ","1,82,000 ",35%
1609,24/06/2021,Women's Athletic Footwear,80.00 ,525,"4,20,000 ","1,47,000 ",35%
1610,24/06/2021,Men's Apparel,90.00 ,400,"3,60,000 ","1,44,000 ",40%
1611,24/06/2021,Women's Apparel,105.00 ,700,"7,35,000 ","2,20,500 ",30%
1612,23/07/2021,Men's Street Footwear,85.00 ,850,"7,22,500 ","2,52,875 ",35%
1613,23/07/2021,Men's Athletic Footwear,90.00 ,700,"6,30,000 ","2,20,500 ",35%
1614,23/07/2021,Women's Street Footwear,90.00 ,650,"5,85,000 ","2,04,750 ",35%
1615,23/07/2021,Women's Athletic Footwear,85.00 ,550,"4,67,500 ","1,63,625 ",35%
1616,23/07/2021,Men's Apparel,90.00 ,600,"5,40,000 ","2,16,000 ",40%
1617,23/07/2021,Women's Apparel,105.00 ,600,"6,30,000 ","1,89,000 ",30%
1618,24/08/2021,Men's Street Footwear,90.00 ,800,"7,20,000 ","2,52,000 ",35%
1619,24/08/2021,Men's Athletic Footwear,80.00 ,775,"6,20,000 ","2,17,000 ",35%
1620,24/08/2021,Women's Street Footwear,70.00 ,650,"4,55,000 ","1,59,250 ",35%
1621,24/08/2021,Women's Athletic Footwear,70.00 ,425,"2,97,500 ","1,04,125 ",35%
1622,24/08/2021,Men's Apparel,70.00 ,425,"2,97,500 ","1,19,000 ",40%
1623,24/08/2021,Women's Apparel,75.00 ,250,"1,87,500 ","56,250 ",30%
1624,25/09/2021,Men's Street Footwear,50.00 ,450,"2,25,000 ","78,750 ",35%
1625,25/09/2021,Men's Athletic Footwear,55.00 ,450,"2,47,500 ","86,625 ",35%
1626,25/09/2021,Women's Street Footwear,50.00 ,250,"1,25,000 ","43,750 ",35%
1627,25/09/2021,Women's Athletic Footwear,50.00 ,200,"1,00,000 ","35,000 ",35%
1628,25/09/2021,Men's Apparel,60.00 ,225,"1,35,000 ","54,000 ",40%
1629,25/09/2021,Women's Apparel,45.00 ,250,"1,12,500 ","33,750 ",30%
1630,24/10/2021,Men's Street Footwear,40.00 ,350,"1,40,000 ","49,000 ",35%
1631,24/10/2021,Men's Athletic Footwear,55.00 ,525,"2,88,750 ","1,01,063 ",35%
1632,24/10/2021,Women's Street Footwear,50.00 ,350,"1,75,000 ","61,250 ",35%
1633,24/10/2021,Women's Athletic Footwear,45.00 ,325,"1,46,250 ","51,188 ",35%
1634,24/10/2021,Men's Apparel,55.00 ,300,"1,65,000 ","66,000 ",40%
1635,24/10/2021,Women's Apparel,60.00 ,350,"2,10,000 ","63,000 ",30%
1636,24/11/2021,Men's Street Footwear,45.00 ,575,"2,58,750 ","90,563 ",35%
1637,24/11/2021,Men's Athletic Footwear,50.00 ,650,"3,25,000 ","1,13,750 ",35%
1638,24/11/2021,Women's Street Footwear,45.00 ,475,"2,13,750 ","74,813 ",35%
1639,24/11/2021,Women's Athletic Footwear,55.00 ,450,"2,47,500 ","86,625 ",35%
1640,24/11/2021,Men's Apparel,75.00 ,425,"3,18,750 ","1,27,500 ",40%
1641,24/11/2021,Women's Apparel,80.00 ,550,"4,40,000 ","1,32,000 ",30%
1642,23/12/2021,Men's Street Footwear,65.00 ,750,"4,87,500 ","1,70,625 ",35%
1643,23/12/2021,Men's Athletic Footwear,75.00 ,750,"5,62,500 ","1,96,875 ",35%
1644,23/12/2021,Women's Street Footwear,70.00 ,550,"3,85,000 ","1,34,750 ",35%
1645,23/12/2021,Women's Athletic Footwear,70.00 ,550,"3,85,000 ","1,34,750 ",35%
1646,23/12/2021,Men's Apparel,80.00 ,475,"3,80,000 ","1,52,000 ",40%
1647,23/12/2021,Women's Apparel,85.00 ,575,"4,88,750 ","1,46,625 ",30%
1648,19/01/2021,Men's Street Footwear,35.00 ,750,"2,62,500 ","1,31,250 ",50%
1649,19/01/2021,Men's Athletic Footwear,35.00 ,550,"1,92,500 ","77,000 ",40%
1650,19/01/2021,Women's Street Footwear,25.00 ,550,"1,37,500 ","41,250 ",30%
1651,19/01/2021,Women's Athletic Footwear,30.00 ,400,"1,20,000 ","42,000 ",35%
1652,19/01/2021,Men's Apparel,45.00 ,450,"2,02,500 ","81,000 ",40%
1653,19/01/2021,Women's Apparel,35.00 ,550,"1,92,500 ","1,05,875 ",55%
1654,17/02/2021,Men's Street Footwear,35.00 ,800,"2,80,000 ","1,40,000 ",50%
1655,17/02/2021,Men's Athletic Footwear,35.00 ,450,"1,57,500 ","63,000 ",40%
1656,17/02/2021,Women's Street Footwear,25.00 ,500,"1,25,000 ","37,500 ",30%
1657,17/02/2021,Women's Athletic Footwear,30.00 ,375,"1,12,500 ","39,375 ",35%
1658,17/02/2021,Men's Apparel,45.00 ,450,"2,02,500 ","81,000 ",40%
1659,17/02/2021,Women's Apparel,35.00 ,550,"1,92,500 ","1,05,875 ",55%
1660,15/03/2021,Men's Street Footwear,35.00 ,770,"2,69,500 ","1,34,750 ",50%
1661,15/03/2021,Men's Athletic Footwear,35.00 ,450,"1,57,500 ","63,000 ",40%
1662,15/03/2021,Women's Street Footwear,25.00 ,475,"1,18,750 ","35,625 ",30%
1663,15/03/2021,Women's Athletic Footwear,30.00 ,325,"97,500 ","34,125 ",35%
1664,15/03/2021,Men's Apparel,45.00 ,375,"1,68,750 ","67,500 ",40%
1665,15/03/2021,Women's Apparel,35.00 ,475,"1,66,250 ","91,438 ",55%
1666,16/04/2021,Men's Street Footwear,35.00 ,725,"2,53,750 ","1,26,875 ",50%
1667,16/04/2021,Men's Athletic Footwear,40.00 ,425,"1,70,000 ","68,000 ",40%
1668,16/04/2021,Women's Street Footwear,30.00 ,450,"1,35,000 ","40,500 ",30%
1669,16/04/2021,Women's Athletic Footwear,35.00 ,375,"1,31,250 ","45,938 ",35%
1670,16/04/2021,Men's Apparel,50.00 ,400,"2,00,000 ","80,000 ",40%
1671,16/04/2021,Women's Apparel,40.00 ,525,"2,10,000 ","1,15,500 ",55%
1672,15/05/2021,Men's Street Footwear,50.00 ,795,"3,97,500 ","1,98,750 ",50%
1673,15/05/2021,Men's Athletic Footwear,50.00 ,500,"2,50,000 ","1,00,000 ",40%
1674,15/05/2021,Women's Street Footwear,45.00 ,475,"2,13,750 ","64,125 ",30%
1675,15/05/2021,Women's Athletic Footwear,45.00 ,450,"2,02,500 ","70,875 ",35%
1676,15/05/2021,Men's Apparel,55.00 ,475,"2,61,250 ","1,04,500 ",40%
1677,15/05/2021,Women's Apparel,60.00 ,575,"3,45,000 ","1,89,750 ",55%
1678,17/06/2021,Men's Street Footwear,55.00 ,825,"4,53,750 ","2,26,875 ",50%
1679,17/06/2021,Men's Athletic Footwear,50.00 ,575,"2,87,500 ","1,15,000 ",40%
1680,17/06/2021,Women's Street Footwear,45.00 ,550,"2,47,500 ","74,250 ",30%
1681,17/06/2021,Women's Athletic Footwear,45.00 ,525,"2,36,250 ","82,688 ",35%
1682,17/06/2021,Men's Apparel,60.00 ,525,"3,15,000 ","1,26,000 ",40%
1683,17/06/2021,Women's Apparel,65.00 ,675,"4,38,750 ","2,41,313 ",55%
1684,15/07/2021,Men's Street Footwear,60.00 ,900,"5,40,000 ","2,70,000 ",50%
1685,15/07/2021,Men's Athletic Footwear,55.00 ,650,"3,57,500 ","1,43,000 ",40%
1686,15/07/2021,Women's Street Footwear,50.00 ,575,"2,87,500 ","86,250 ",30%
1687,15/07/2021,Women's Athletic Footwear,50.00 ,525,"2,62,500 ","91,875 ",35%
1688,15/07/2021,Men's Apparel,60.00 ,550,"3,30,000 ","1,32,000 ",40%
1689,15/07/2021,Women's Apparel,65.00 ,725,"4,71,250 ","2,59,188 ",55%
1690,16/08/2021,Men's Street Footwear,60.00 ,875,"5,25,000 ","2,62,500 ",50%
1691,16/08/2021,Men's Athletic Footwear,55.00 ,650,"3,57,500 ","1,43,000 ",40%
1692,16/08/2021,Women's Street Footwear,45.00 ,575,"2,58,750 ","77,625 ",30%
1693,16/08/2021,Women's Athletic Footwear,35.00 ,525,"1,83,750 ","64,313 ",35%
1694,16/08/2021,Men's Apparel,45.00 ,500,"2,25,000 ","90,000 ",40%
1695,16/08/2021,Women's Apparel,50.00 ,675,"3,37,500 ","1,85,625 ",55%
1696,15/09/2021,Men's Street Footwear,45.00 ,800,"3,60,000 ","1,80,000 ",50%
1697,15/09/2021,Men's Athletic Footwear,40.00 ,600,"2,40,000 ","96,000 ",40%
1698,15/09/2021,Women's Street Footwear,35.00 ,500,"1,75,000 ","52,500 ",30%
1699,15/09/2021,Women's Athletic Footwear,35.00 ,475,"1,66,250 ","58,188 ",35%
1700,15/09/2021,Men's Apparel,45.00 ,475,"2,13,750 ","85,500 ",40%
1701,15/09/2021,Women's Apparel,50.00 ,575,"2,87,500 ","1,58,125 ",55%
1702,17/10/2021,Men's Street Footwear,50.00 ,750,"3,75,000 ","1,87,500 ",50%
1703,17/10/2021,Men's Athletic Footwear,40.00 ,575,"2,30,000 ","92,000 ",40%
1704,17/10/2021,Women's Street Footwear,40.00 ,425,"1,70,000 ","51,000 ",30%
1705,17/10/2021,Women's Athletic Footwear,40.00 ,400,"1,60,000 ","56,000 ",35%
1706,17/10/2021,Men's Apparel,50.00 ,400,"2,00,000 ","80,000 ",40%
1707,17/10/2021,Women's Apparel,55.00 ,525,"2,88,750 ","1,58,813 ",55%
1708,16/11/2021,Men's Street Footwear,50.00 ,675,"3,37,500 ","1,68,750 ",50%
1709,16/11/2021,Men's Athletic Footwear,45.00 ,500,"2,25,000 ","90,000 ",40%
1710,16/11/2021,Women's Street Footwear,45.00 ,445,"2,00,250 ","60,075 ",30%
1711,16/11/2021,Women's Athletic Footwear,45.00 ,475,"2,13,750 ","74,813 ",35%
1712,16/11/2021,Men's Apparel,60.00 ,450,"2,70,000 ","1,08,000 ",40%
1713,16/11/2021,Women's Apparel,65.00 ,625,"4,06,250 ","2,23,438 ",55%
1714,15/12/2021,Men's Street Footwear,60.00 ,850,"5,10,000 ","2,55,000 ",50%
1715,15/12/2021,Men's Athletic Footwear,50.00 ,650,"3,25,000 ","1,30,000 ",40%
1716,15/12/2021,Women's Street Footwear,50.00 ,600,"3,00,000 ","90,000 ",30%
1717,15/12/2021,Women's Athletic Footwear,50.00 ,550,"2,75,000 ","96,250 ",35%
1718,15/12/2021,Men's Apparel,60.00 ,550,"3,30,000 ","1,32,000 ",40%
1719,15/12/2021,Women's Apparel,65.00 ,650,"4,22,500 ","2,32,375 ",55%
1720,18/01/2021,Men's Street Footwear,30.00 ,625,"1,87,500 ","75,000 ",40%
1721,18/01/2021,Men's Athletic Footwear,30.00 ,425,"1,27,500 ","44,625 ",35%
1722,18/01/2021,Women's Street Footwear,20.00 ,425,"85,000 ","29,750 ",35%
1723,18/01/2021,Women's Athletic Footwear,25.00 ,275,"68,750 ","27,500 ",40%
1724,18/01/2021,Men's Apparel,40.00 ,325,"1,30,000 ","45,500 ",35%
1725,18/01/2021,Women's Apparel,30.00 ,425,"1,27,500 ","63,750 ",50%
1726,18/02/2021,Men's Street Footwear,30.00 ,675,"2,02,500 ","81,000 ",40%
1727,18/02/2021,Men's Athletic Footwear,30.00 ,325,"97,500 ","34,125 ",35%
1728,18/02/2021,Women's Street Footwear,20.00 ,375,"75,000 ","26,250 ",35%
1729,18/02/2021,Women's Athletic Footwear,25.00 ,250,"62,500 ","25,000 ",40%
1730,18/02/2021,Men's Apparel,40.00 ,325,"1,30,000 ","45,500 ",35%
1731,18/02/2021,Women's Apparel,30.00 ,400,"1,20,000 ","60,000 ",50%
1732,17/03/2021,Men's Street Footwear,35.00 ,620,"2,17,000 ","86,800 ",40%
1733,17/03/2021,Men's Athletic Footwear,35.00 ,300,"1,05,000 ","36,750 ",35%
1734,17/03/2021,Women's Street Footwear,25.00 ,350,"87,500 ","30,625 ",35%
1735,17/03/2021,Women's Athletic Footwear,30.00 ,200,"60,000 ","24,000 ",40%
1736,17/03/2021,Men's Apparel,45.00 ,250,"1,12,500 ","39,375 ",35%
1737,17/03/2021,Women's Apparel,35.00 ,350,"1,22,500 ","61,250 ",50%
1738,18/04/2021,Men's Street Footwear,35.00 ,575,"2,01,250 ","80,500 ",40%
1739,18/04/2021,Men's Athletic Footwear,30.00 ,275,"82,500 ","28,875 ",35%
1740,18/04/2021,Women's Street Footwear,20.00 ,275,"55,000 ","19,250 ",35%
1741,18/04/2021,Women's Athletic Footwear,25.00 ,200,"50,000 ","20,000 ",40%
1742,18/04/2021,Men's Apparel,40.00 ,225,"90,000 ","31,500 ",35%
1743,18/04/2021,Women's Apparel,30.00 ,350,"1,05,000 ","52,500 ",50%
1744,19/05/2021,Men's Street Footwear,40.00 ,620,"2,48,000 ","99,200 ",40%
1745,19/05/2021,Men's Athletic Footwear,35.00 ,325,"1,13,750 ","39,813 ",35%
1746,19/05/2021,Women's Street Footwear,30.00 ,300,"90,000 ","31,500 ",35%
1747,19/05/2021,Women's Athletic Footwear,30.00 ,225,"67,500 ","27,000 ",40%
1748,19/05/2021,Men's Apparel,45.00 ,250,"1,12,500 ","39,375 ",35%
1749,19/05/2021,Women's Apparel,50.00 ,350,"1,75,000 ","87,500 ",50%
1750,18/06/2021,Men's Street Footwear,35.00 ,600,"2,10,000 ","84,000 ",40%
